Food Establishment Name,Food Establishment Street Address,Food Establishment City,Food Establishment Zip Code,Inspection Date,Inspection Type,Violation 1,Violation 1 Description,Violation 2,Violation 2 Description,Violation 3,Violation 3 Description,Violation 4,Violation 4 Description,Violation 5,Violation 5 Description,Violation 6,Violation 6 Description,Violation 7,Violation 7 Description,Violation 8,Violation 8 Description,Violation 9,Violation 9 Description,Violation 10,Violation 10 Description,Violation 11,Violation 11 Description,Violation 12,Violation 12 Desription,Violation 13,Violation 13 Description,Geocoded Location
A'LATTE SOUL,1053 B WALNUT STREET,MILFORD,19963,01/19/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"1053 B WALNUT STREET
MILFORD, DE 19963
"
WAL-MART STORE 1736-99,4898 N. DUPONT HWY.,CHESWOLD,19936,08/05/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"4898 N. DUPONT HWY.
CHESWOLD, DE 19936
"
CHINA TASTE,28263 LEXUS DRIVE UNIT 2,MILFORD,19963,08/08/2016,Routine,6-501_111 Controlling Pests Pf ( C),Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"28263 LEXUS DRIVE UNIT 2
MILFORD, DE 19963
"
CHINA TASTE,28263 LEXUS DRIVE UNIT 2,MILFORD,19963,02/10/2016,Pre-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,"28263 LEXUS DRIVE UNIT 2
MILFORD, DE 19963
"
CHINA TASTE,28263 LEXUS DRIVE UNIT 2,MILFORD,19963,02/10/2016,Pre-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,"28263 LEXUS DRIVE UNIT 2
MILFORD, DE 19963
"
THE DRUMMERS CORNER,4793 WHEATEYS POND RD.,CLAYTON,19938,02/22/2016,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,"4793 WHEATEYS POND RD.
CLAYTON, DE 19938
"
SHORE STOP #269,RT 13 & GLENWOOD AVE,SMYRNA,19977,03/16/2016,Routine,6-501_111 Controlling Pests Pf ( C),Violation,4-703_11 Methods-Hot Water and Chemical P,Violation,,,,,,,,,,,,,,,,,,,,,,,"RT 13 &amp; GLENWOOD AVE
SMYRNA, DE 19977
"
ROYAL FARMS #117,RT. 8 & PEARSONS CORNER,DOVER,19904,03/18/2016,Routine,5-304_11 Flushing and Disinfecting System P,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"RT. 8 &amp; PEARSONS CORNER
DOVER, DE 19904
"
EL AZTECA,511 NORTH RED HAVEN LANE,DOVER,19901,03/21/2016,Routine,4-703_11 Methods-Hot Water and Chemical P,Violation - Corrected on Site,4-502_11 Good Repair and Calibration Pf (b),,4-703_11 Methods-Hot Water and Chemical P,,5-304_11 Flushing and Disinfecting System P,,,,,,,,,,,,,,,,,,,,"511 NORTH RED HAVEN LANE
DOVER, DE 19901
"
FREDERICA SENIOR CTR,P O BOX 165  216  S. MARKET ST.,FREDERICA,19946,03/24/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"P O BOX 165 216 S. MARKET ST.
FREDERICA, DE 19946
"
